IdSensore,NomeTipoSensore,UnitaMisura,IdStazione,Quota,Provincia,Comune,lat,lng
5599,Biossido di Azoto,µg/m³,596,182.0,BG,Osio Sotto,45.62055567939559,9.611737821812373
20034,Biossido di Azoto,µg/m³,693,85.0,PV,Sannazzaro de' Burgondi,45.10276627684137,8.90417452771467
6246,Ossidi di Azoto,µg/m³,573,229.0,LC,Colico,46.1381409051264,9.384687247651794
6386,Ossidi di Azoto,µg/m³,558,206.0,VA,Busto Arsizio,45.582894292717725,8.842165456706075
10038,Biossido di Azoto,µg/m³,687,215.0,VA,Ferno,45.61924377994763,8.756970445453431
9872,PM10 (SM2005),µg/m³,673,90.0,PV,Voghera,44.99954598914026,9.008437381815693
6610,Particolato Totale Sospeso,µg/m³,612,176.0,BG,Filago,45.6244564811923,9.556504350318216
6904,Ozono,µg/m³,596,182.0,BG,Osio Sotto,45.62055567939559,9.611737821812373
10501,PM10 (SM2005),µg/m³,655,221.0,BS,Darfo Boario Terme,45.87460210989037,10.17735680898138
6402,Ossidi di Azoto,µg/m³,552,425.0,VA,Varese,45.83690077655548,8.80392612667495
9972,Ozono,µg/m³,679,247.0,LC,Valmadrera,45.842207261022544,9.351658166127958
9917,Ossidi di Azoto,µg/m³,663,18.0,MN,Mantova,45.14526012578896,10.80332595007927
6912,PM10 (SM2005),µg/m³,546,137.0,MI,Magenta,45.462415791106615,8.880210433125571
5551,Biossido di Azoto,µg/m³,548,118.0,MI,Milano,45.470499014097,9.197460360112531
5953,Biossido di Azoto,µg/m³,627,39.0,CR,Cremona,45.13194691285173,10.015741513336042
5577,Biossido di Azoto,µg/m³,574,214.0,LC,Lecco,45.850191194578535,9.395577066893225
5554,Biossido di Azoto,µg/m³,551,182.0,MI,Arconate,45.54851735741946,8.847321929216262
6832,Ozono,µg/m³,657,180.0,BS,Lonato del Garda,45.463753136210265,10.480772043571283
12639,Cadmio,ng/m³,548,118.0,MI,Milano,45.470499014097,9.197460360112531
5717,Ozono,µg/m³,531,114.0,MI,Pioltello,45.48363035323249,9.327360033215143
10438,Particelle sospese PM2.5,µg/m³,1264,290.0,SO,Sondrio,46.16785244066512,9.879209924469905
10013,Particelle sospese PM2.5,µg/m³,576,279.0,LC,Merate,45.69795198970243,9.406190938686596
5989,Benzene,µg/m³,584,249.0,BG,Bergamo,45.69568034432694,9.66124914606551
9875,Ossidi di Azoto,µg/m³,674,162.0,MB,Monza,45.58026348442243,9.273573092713274
5517,Biossido di Azoto,µg/m³,514,152.0,MI,Rho,45.52342566200348,9.044599871111004
10586,Particelle sospese PM2.5,µg/m³,677,43.0,CR,Cremona,45.14254063221695,10.043836158369391
5965,Biossido di Azoto,µg/m³,633,70.0,CR,Soresina,45.28397715446764,9.863398419993636
